    INFO: 2025-01-29 10:46:44,952:               log.py:   20: Logging to C:\Users\jpobl\Desktop\busIA\busiav2\busIA\mdpdf.log
   DEBUG: 2025-01-29 10:46:45,180:      pdf_renderer.py:   53: 17, [3, '4.2 API de Pasajes', 3, 238.80000000000004]
   DEBUG: 2025-01-29 10:46:45,180:      pdf_renderer.py:   53: 18, [3, '4.3 API de Empresas', 3, 315.6]
   DEBUG: 2025-01-29 10:46:45,181:      pdf_renderer.py:   53: 19, [2, '5. Configuraciones', 3, 392.8]
   DEBUG: 2025-01-29 10:46:45,181:      pdf_renderer.py:   53: 20, [3, '5.1 Configuración de Correo', 3, 426.0]
   DEBUG: 2025-01-29 10:46:45,181:      pdf_renderer.py:   53: 21, [3, '5.2 Configuración de Logging', 3, 502.79999999999995]
   DEBUG: 2025-01-29 10:46:45,181:      pdf_renderer.py:   53: 22, [3, '5.3 Configuración de Seguridad', 3, 579.5999999999999]
   DEBUG: 2025-01-29 10:46:45,181:      pdf_renderer.py:   53: 23, [2, '6. Herramientas de Desarrollo', 4, 140.8]
   DEBUG: 2025-01-29 10:46:45,181:      pdf_renderer.py:   53: 24, [3, '6.1 Entorno Virtual', 4, 174.00000000000003]
   DEBUG: 2025-01-29 10:46:45,181:      pdf_renderer.py:   53: 25, [3, '6.2 Herramientas de Debug', 4, 238.80000000000004]
   DEBUG: 2025-01-29 10:46:45,181:      pdf_renderer.py:   53: 26, [2, '7. Seguridad Implementada', 4, 316.00000000000006]
   DEBUG: 2025-01-29 10:46:45,181:      pdf_renderer.py:   53: 27, [3, '7.1 Autenticación', 4, 349.20000000000005]
   DEBUG: 2025-01-29 10:46:45,181:      pdf_renderer.py:   53: 28, [3, '7.2 Autorización', 4, 426.0]
   DEBUG: 2025-01-29 10:46:45,181:      pdf_renderer.py:   53: 29, [3, '7.3 Protección de Datos', 4, 502.79999999999995]
   DEBUG: 2025-01-29 10:46:45,181:      pdf_renderer.py:   53: 30, [2, '8. Mantenimiento y Escalabilidad', 4, 579.9999999999999]
   DEBUG: 2025-01-29 10:46:45,181:      pdf_renderer.py:   53: 31, [3, '8.1 Backup y Recuperación', 4, 613.1999999999998]
   DEBUG: 2025-01-29 10:46:45,182:      pdf_renderer.py:   53: 32, [3, '8.2 Monitoreo', 4, 689.9999999999998]
   DEBUG: 2025-01-29 10:46:45,182:      pdf_renderer.py:   53: 33, [3, '8.3 Escalabilidad', 5, 128.4]
   DEBUG: 2025-01-29 10:46:45,182:      pdf_renderer.py:   53: 34, [2, '9. Integración y Despliegue', 5, 205.60000000000002]
   DEBUG: 2025-01-29 10:46:45,182:      pdf_renderer.py:   53: 35, [3, '9.1 Control de Versiones', 5, 238.80000000000004]
   DEBUG: 2025-01-29 10:46:45,182:      pdf_renderer.py:   53: 36, [3, '9.2 Testing', 5, 315.6]
   DEBUG: 2025-01-29 10:46:45,182:      pdf_renderer.py:   53: 37, [3, '9.3 Despliegue', 5, 392.4]
